marca,modelo,anios_produccion,rango_anios,tiene_serie,tiene_deportiva,observaciones_facelift,serie_1g,serie_2g,serie_3g,precio_fatal_10,precio_mal_13,precio_regular_17,precio_bien_23,precio_vida_deportiva,valor_minimo_usado,porcentaje_15,porcentaje_20,porcentaje_23
AUDI,A4 ALLROAD,2016-2024,16-20,True,False,,,,,,,,,,15400.0,2310.0,3080.0,3542.0
AUDI,A4 ALLROAD,2016-2024,20-24,True,False,"CAMBIA LA CARROCERIA FRONTAL COMPLETA, LA CARROCERIA TRASERA COMPLETA Y LA ILUMINACION",,,,,,,,,28500.0,4275.0,5700.0,6555.0
AUDI,A5 COUPE,2007-2016,07-12,True,True,,2880/3380/1/2/20td,4500/3 2.0TD,v6 td---->,,3380.0,3870.0,4230.0,265.0,9500.0,1425.0,1900.0,2185.0
AUDI,A5 COUPE,2007-2016,12-16,True,True,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, LOS RETROVISORES, EL PARAGOLPES TRASERO Y LA ILUMINACION",3280/3880/1/2/20td,5230/3 2.0TD,v6 td ---->,,3880.0,4230.0,6460.0,,10500.0,1575.0,2100.0,2415.0
AUDI,A5 COUPE,2017-2024,17-20,True,True,,3880/1/2/20td,,v6 td ---->,4230.0,5230.0,6130.0,7830.0,,22800.0,3420.0,4560.0,5244.0
AUDI,A5 COUPE,2017-2024,20-24,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION (DEPENDIENDO DE SI ES S-LINE PUEDEN CAMBIAR LOS PARAGOLPES)",,,,5080.0,6430.0,7830.0,8630.0,,25600.0,3840.0,5120.0,5888.0
AUDI,A5 SPORTBLACK,2007-2016,07-12,True,True,,,,V6,3370.0,4170.0,4370.0,4870.0,,6900.0,1035.0,1380.0,1587.0
AUDI,A5 SPORTBLACK,2007-2016,12-16,True,True,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, LOS RETROVISORES, EL PARAGOLPES TRASERO Y LA ILUMINACION",3280/2/1.8g,4370/3d 2.0d,V6,4300.0,4680.0,5570.0,6370.0,,10500.0,1575.0,2100.0,2415.0
AUDI,A5 SPORTBLACK,2017-2024,17-20,True,True,,4680/1d/2.0d,2370sin motor,,4680.0,5680.0,6370.0,7370.0,,17900.0,2685.0,3580.0,4117.0
AUDI,A5 SPORTBLACK,2017-2024,20-24,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION (DEPENDIENDO DE SI ES S-LINE PUEDEN CAMBIAR LOS PARAGOLPES)",4680/1d/2.0d,5080/2d/2.0,,5080.0,5370.0,6880.0,8070.0,,26500.0,3975.0,5300.0,6095.0
AUDI,A5,2025 EN ADELANTE,25>,True,True,,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,A6 C7,2012-2018,12-15,True,True,,4360/2 3.0TDI->,,,3380.0,3880.0,4680.0,5270.0,,8500.0,1275.0,1700.0,1955.0
AUDI,A6 C7,2012-2018,15-18,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",2.0tdi--->,3200/1,4680/2.0tdi,,4280.0,5270.0,6280.0,6600.0,12000.0,1800.0,2400.0,2760.0
AUDI,A6 C8,2018-2025,18>,True,True,,,,,4670.0,5270.0,6430.0,8330.0,,20000.0,3000.0,4000.0,4600.0
AUDI,A6 C9,2025 EN ADELANTE,25>,True,False,,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,A6 ALLROAD,2012-2018,12-15,True,False,,2.0/1g/,,3.0td,,3370.0,4270.0,5670.0,,13500.0,2025.0,2700.0,3105.0
AUDI,A6 ALLROAD,2012-2018,15-18,False,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS Y LA ILUMINACION",,,,,,,6130.0,,14500.0,2175.0,2900.0,3335.0
AUDI,A6 ALLROAD,2019-2024,19-24,True,False,,,,,,,,,,29000.0,4350.0,5800.0,6670.0
AUDI,A7,2011-2017,11-14,True,False,,4870/1/2d,,,5430.0,5880.0,6870.0,7270.0,,11900.0,1785.0,2380.0,2737.0
AUDI,A7,2011-2017,14-17,False,True,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",13330 /3 VIDA,,,5530.0,6430.0,7270.0,7870.0,,17700.0,2655.0,3540.0,4071.0
AUDI,A7,2018-2025,18-25,True,True,,,,,6070.0,6130.0,7270.0,8870.0,,28500.0,4275.0,5700.0,6555.0
AUDI,A8,2010-2017,10-14,True,True,,,,,,3370.0,3670.0,4270.0,,14400.0,2160.0,2880.0,3312.0
AUDI,A8,2010-2017,14-17,False,True,"CAMBIA LA PARTE FRONTAL COMPLETA (EXCEPTO ALETAS Y CAPO), PARTE TRASERA COMPLETA Y RETROVISORES",,,,2280.0,3570.0,4270.0,5230.0,,20200.0,3030.0,4040.0,4646.0
AUDI,A8,2018 ADELANTE,18-21,True,True,,,,,,4830.0,5330.0,7630.0,,35000.0,5250.0,7000.0,8050.0
AUDI,A8,2018 ADELANTE,22>,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO Y LA ILUMINACION",,,,,,,,,40000.0,6000.0,8000.0,9200.0
AUDI,Q2,2016 EN ADELANTE,16-20,True,True,,2830/3380/1g,4480/2g,5470/3g,3680.0,4380.0,5430.0,6370.0,,13000.0,1950.0,2600.0,2990.0
AUDI,Q2,2016 EN ADELANTE,21>,False,True,"CAMBIA EL PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",4610/1g,5380/2g,6130/3g,3830.0,4480.0,5880.0,6330.0,,18200.0,2730.0,3640.0,4186.0
AUDI,Q3,2012-2018,12-15,True,False,,2880/1g,3280/2,,3480.0,3830.0,4380.0,4670.0,,9300.0,1395.0,1860.0,2139.0
AUDI,Q3,2012-2018,15-18,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, RETROVISORES, PARAGOLPES TRASERO Y LA ILUMINACION",3280/1g,4480/1/2,6570/3 VIDA,3870.0,4580.0,4880.0,5580.0,,11900.0,1785.0,2380.0,2737.0
AUDI,Q3,2019-2025,19-25,True,False,,,4630/2g,3330/ind,4480.0,5430.0,6280.0,6680.0,,20000.0,3000.0,4000.0,4600.0
AUDI,Q3,2025 EN ADELANTE,25>,True,False,,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,Q3 SPORTBACK,2020-2025,20-25,True,False,,4630/1g,,3330/ind,,6130.0,6680.0,7130.0,,38700.0,5805.0,7740.0,8901.0
AUDI,Q3 SPORTBACK,2025 EN ADELANTE,25>,True,False,,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,Q5,2009-2016,09-12,True,False,,4400/3d v6-3.0,,mirar km?,2880.0,3430.0,4230.0,5130.0,,5500.0,825.0,1100.0,1265.0
AUDI,Q5,2009-2016,12-17,True,True,"CAMBIA PARAGOLPES DELANTERO, CAPO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",3280/1g,4130/2g,5530/3g,,4380.0,4860.0,5870.0,,11000.0,1650.0,2200.0,2530.0
AUDI,Q5,2017-2024,17-20,True,True,,4880/1g,5230/6230/2,6880/3g,5280.0,6230.0,6680.0,8230.0,,19000.0,2850.0,3800.0,4370.0
AUDI,Q5,2017-2024,21-24,True,True,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, RETROVISORES, PARAGOLPES TRASERO, PORTON TRASERO Y LA ILUMINACIÓN",5430/1g,6230,8130,5680.0,6580.0,8130.0,9130.0,,29500.0,4425.0,5900.0,6785.0
AUDI,Q5,2025 EN ADELANTE,25>,True,True,,,,,,,,,,0.0,0.0,0.0,0.0
AUDI,Q5 SPORTBACK,2021-2024,21-24,True,True,,5780/1g,,,5730.0,6580.0,7830.0,9130.0,,38500.0,5775.0,7700.0,8855.0
AUDI,Q5 SPORTBACK,2025 EN ADELANTE,25>,True,True,,,,,7430.0,8230.0,10630.0,12130.0,,46000.0,6900.0,9200.0,10580.0
AUDI,Q7,2016 EN ADELANTE,16-20,True,True,,,,272cv/v6,5230.0,6130.0,7230.0,10830.0,,22000.0,3300.0,4400.0,5060.0
AUDI,Q7,2016 EN ADELANTE,20-24,True,True,CAMBIA PRACTICAMENTE TODO PERO TENIENDO EN CUENTA QUE LA CARROCERIA ES LA MISMA (EN PRINCIPIO LAS PUERTAS NO CAMBIAN),,,,6680.0,8130.0,12730.0,14880.0,,43000.0,6450.0,8600.0,9890.0
AUDI,Q7,2016 EN ADELANTE,24>,True,True,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACIÓN",,,381cv/g/h,8130.0,13130.0,15590.0,16780.0,,84000.0,12600.0,16800.0,19320.0
AUDI,Q8,2019 EN ADELANTE,19-23,True,True,,6560/1g,,motor mal->,6830.0,10430.0,11880.0,14330.0,,39000.0,5850.0,7800.0,8970.0
AUDI,Q8,2019 EN ADELANTE,24>,False,True,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, LAS TALONERAS, EL SPOILER DE PARAGOLPES TRASERO Y LA ILUMINACIÓN",6680/1g,,,,,15230.0,18230.0,,80000.0,12000.0,16000.0,18400.0
AUDI,TT,2015-2023,15-18,True,False,,,,,,2800.0,3500.0,4800.0,,15000.0,2250.0,3000.0,3450.0
AUDI,TT,2015-2023,18-23,False,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS Y LA ILUMINACION",,,,2780.0,3830.0,4830.0,6730.0,,28500.0,4275.0,5700.0,6555.0
BMW,SERIE 1 F20 / F21,2012-2019,12-15,True,False,,2410/1G,3380/2G,3630/3G,2880.0,3430.0,4130.0,4680.0,,5500.0,825.0,1100.0,1265.0
BMW,SERIE 1 F20 / F21,2012-2019,15-17,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO, PORTON TRASERO Y LA ILUMINACIÓN",2780/1g,3030/2G,4480/3G,3480.0,3880.0,4470.0,4870.0,,9000.0,1350.0,1800.0,2070.0
BMW,SERIE 1 F20 / F21,2012-2019,17-19,True,False,"TODO IGUAL SALVO QUE AÑADEN VERSIONES QUE HACEN QUE TENGA LAS PARRILAS, FAROS Y PILOTOS MAS OSCURECIDOS",3190/1g,4030/2g,5080/3g,3880.0,4030.0,4880.0,5880.0,2800.0,10000.0,1500.0,2000.0,2300.0
BMW,SERIE 1 F40,2020-2024,20-24,True,False,TODA LA PARTE CICLO LA COMPARTE CON EL SERIE 2 GRAN COUPE 2020-2024,4580/1g,5280/2g,5830/3g,4280.0,4580.0,5880.0,6630.0,,15900.0,2385.0,3180.0,3657.0
BMW,SERIE 1 F70,2024 EN ADELANTE,24>,True,True,TODA LA PARTE CICLO SON COMPARTIDAS ENTRE: SERIE 2 GRAN COUPE F74 2025 EN ADELANTE / SERIE 1 F70 2025 EN ADELANTE,5430/1gh,6830/2gh,6430/3gh,,5630.0,7630.0,8130.0,,38000.0,5700.0,7600.0,8740.0
BMW,SERIE 2 COUPE F22,2014-2021,14-17,True,False,,,,,3030.0,3570.0,4580.0,5230.0,,12500.0,1875.0,2500.0,2875.0
BMW,SERIE 2 COUPE F22,2014-2021,17-21,True,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",3170/1g,3870/2g,4880,3170.0,4380.0,4870.0,5670.0,6130.0,16300.0,2445.0,3260.0,3749.0
BMW,SERIE 2 COUPE G87,2022 EN ADELANTE,22-24,True,True,,,,,,4870.0,5870.0,6280.0,,38500.0,5775.0,7700.0,8855.0
BMW,SERIE 2 COUPE G87,2022 EN ADELANTE,24>,True,False,EXTERIORMENTE LO ÚNICO QUE CAMBIA ES QUE TODOS LLEVAN DE SERIE EL PAQUETE M SPORT,,,,,,,,,45900.0,6885.0,9180.0,10557.0
BMW,SERIE 2 CABRIO F23,2014 EN ADELANTE,14-17,True,False,,,,,3080.0,3380.0,4670.0,5370.0,,18900.0,2835.0,3780.0,4347.0
BMW,SERIE 2 CABRIO F23,2014 EN ADELANTE,17>,True,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",3670/1g,,,3570.0,4370.0,4870.0,5670.0,5170.0,18900.0,2835.0,3780.0,4347.0
BMW,SERIE 2 GC F44,2020 EN ADELANTE,20-24,True,False,TODA LA PARTE CICLO LA COMPARTE CON EL SERIE 1 F40 / es un (F44),,,,3870.0,5870.0,5870.0,7230.0,,18900.0,2835.0,3780.0,4347.0
BMW,SERIE 2 GC F74,2020 EN ADELANTE,25>,True,True,TODA LA PARTE CICLO SON COMPARTIDAS ENTRE: SERIE 2 GRAN COUPE F74 2025 EN ADELANTE / SERIE 1 F70 2025 EN ADELANTE,,,,,,,,,0.0,0.0,0.0,0.0
BMW,SERIE 2 F45/f46,14 EN ADELANTE,14-18,True,False,,3190/1g,3630/1H,4880/3g,3190.0,3710.0,4180.0,5370.0,,9000.0,1350.0,1800.0,2070.0
BMW,ACTIVE/GRAN TOURER,14 EN ADELANTE,18>,True,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, RETROVISORES, PARAGOLPES TRASERO Y LA ILUMINACION",3380/1g,4130/2g,5030/3g,3380.0,3870.0,4870.0,5880.0,,10700.0,1605.0,2140.0,2461.0
BMW,ACTIVE TOURER,14 EN ADELANTE,22>,True,False,,,,,,4380.0,5480.0,6280.0,,25900.0,3885.0,5180.0,5957.0
BMW,SERIE 3 F30/F31,2012-2018,12-15,True,False,,3380/1d2.0d,1.6td-->,3930/2d,3380.0,3630.0,3930.0,5280.0,,7000.0,1050.0,1400.0,1610.0
BMW,SERIE 3 F30/F31,2012-2018,15-18,False,False,"CAMBIA PARAGOLPES DELANTERO, LAS REJILLAS, EL PARAGOLPES TRASERO  Y LA ILUMINACION",2890/3380,3630/2d,330td->,,3870.0,4880.0,6230.0,,8900.0,1335.0,1780.0,2047.0
BMW,SERIE 3 G20,2019 EN ADELANTE,19-22,True,False,,4630/1g,5630g,6530/3g,4130.0,6430.0,7430.0,8230.0,,18000.0,2700.0,3600.0,4140.0
BMW,SERIE 3 G20,2019 EN ADELANTE,22-24,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS, PARAGOLPES TRASERO, SALIDAS DE ESCAPE Y LA ILUMINACIÓN",6230,7230,8230,5630.0,6230.0,7880.0,9430.0,,24000.0,3600.0,4800.0,5520.0
BMW,SERIE 3 G20,2019 EN ADELANTE,24>,True,False,"EXTERIORMENTE NO CAMBIA NADA. sE DISTINGE VISUALMENTE, POR LOS VOLANTES (¿KIT DE AIRBAG  DISTINTO?), REJILLAS AIREADORES Y INFOENTRETENIMIENTO",6780/7530,7530/8230,10630,6230.0,7530.0,9430.0,10330.0,,33750.0,5062.5,6750.0,7762.5
BMW,SERIE 3 GT F34,2013-2020,13-16,True,False,,,mirar KM y,tipo motor,3380.0,4870.0,5280.0,6230.0,,9700.0,1455.0,1940.0,2231.0
BMW,SERIE 3 GT F34,2013-2020,16-20,False,False,CAMBIA PARAGOLPES E ILUMINACION,,,,4870.0,5280.0,6530.0,7230.0,,12500.0,1875.0,2500.0,2875.0
BMW,SERIE 4 COUPE F32,2013-2020,13-17,True,False,,4380/4680,5380,5880,4380.0,5280.0,5880.0,6370.0,,13000.0,1950.0,2600.0,2990.0
BMW,SERIE 4 COUPE F32,2013-2020,17-20,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",,,,,4830.0,6730.0,8370.0,,18000.0,2700.0,3600.0,4140.0
BMW,SERIE 4 COUPE,2020 EN ADELANTE,20-24,True,False,,5380,6680,8380,,,,,,28900.0,4335.0,5780.0,6647.0
BMW,SERIE 4 COUPE,2020 EN ADELANTE,24>,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS DE LAS ESQUINAS (LA CENTRAL PARECE IGUAL), Y LOS FAROS DELANTEROS",,,,,,,,,48000.0,,,
BMW,SERIE 4 CABRIO F33,2013-2020,13-17,True,False,,4680,5130,6130,,5380.0,6730.0,7230.0,,29000.0,4350.0,5800.0,6670.0
BMW,SERIE 4 CABRIO F33,2013-2020,17-20,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",,,,,6280.0,6730.0,8370.0,,34000.0,5100.0,6800.0,7820.0
BMW,SERIE 4 CABRIO,2020 EN ADELANTE,20-24,True,False,,,,,,,,,,37500.0,5625.0,7500.0,8625.0
BMW,SERIE 4 CABRIO,2020 EN ADELANTE,24>,True,False,"CAMBIA EL PARAGOLPES DELANTERO, LAS REJILLAS DE LAS ESQUINAS (LA CENTRAL PARECE IGUAL), Y LOS FAROS DELANTEROS",,,,,6280.0,9130.0,11630.0,,45900.0,6885.0,9180.0,10557.0
BMW,SERIE 4 GC F36,2013-2020,13-17,True,False,,1850/0* quema,,4530/1,3630.0,4830.0,5370.0,6370.0,,13000.0,1950.0,2600.0,2990.0
BMW,SERIE 4 GC F36,2013-2020,17-20,False,False,"CAMBIA PARAGOLPES DELANTERO, REJILLAS, PARAGOLPES TRASERO Y LA ILUMINACION",,,,4030.0,5830.0,6730.0,8170.0,,14000.0,2100.0,2800.0,3220.0
BMW,SERIE 4 GC,2020 EN ADELANTE,20-24,True,False,,,,,,7130.0,8130.0,9430.0,,36000.0,5400.0,7200.0,8280.0
BMW,SERIE 4 GC,2020 EN ADELANTE,24>,True,False,"CAMBIAN LAS REJILLAS CENTRALES DEL PARAGOLPES, EL SPOILER DE PARAGOLPES TRASERO Y LA ILUMINACION",,,,,8130.0,9430.0,11230.0,,44900.0,6735.0,8980.0,10327.0
BMW,SERIE 5 F10/11,2010 EN ADELANTE,10-13,True,False,,2410/1/2d,4370/3/2.0d,4730/2/5.0d,3230.0,4230.0,4530.0,5780.0,,5500.0,825.0,1100.0,1265.0
BMW,SERIE 5 F10/11,2010 EN ADELANTE,13-17,False,False,"CAMBIAN PARAGOLPES, ILUMINACION, RETROVISORES Y ALETAS",2710/1g,3230/2g,M5.7630,3230.0,4530.0,4680.0,5780.0,,6200.0,930.0,1240.0,1426.0
BMW,SERIE 5 G30,2017-2023,17-20,True,False,,4130/1g,,,4880.0,6180.0,7680.0,9130.0,,17000.0,2550.0,3400.0,3910.0
BMW,SERIE 5 G30,2017-2023,21-23,False,False,"CAMBIA EL PARAGOLPES DELANTERO, REJILLAS, RETROVISORES, PARAGOLPES TRASERO Y LA ILUMINACION (NO HE CONSEGUIDO AVERIGUAR SI CAMBIA CAPO)",,,,5580.0,6380.0,7880.0,9480.0,,27000.0,4050.0,5400.0,6210.0
BMW,SERIE 5 G60 / G61 TOURING,2024 EN ADELANTE,24>,True,False,,,,,,,,,,41000.0,6150.0,8200.0,9430.0
BMW,SERIE 5 GT F07,2009-2017,09-13,True,False,,,,,,2530.0,2830.0,3230.0,,9900.0,1485.0,1980.0,2277.0
BMW,SERIE 5 GT F07,2009-2017,13-17,False,False,"CAMBIA PARAGOLPES DELANTERO, ALETAS, RETROVISORES E ILUMINACION",,,6510,,2830.0,3230.0,4030.0,,16700.0,2505.0,3340.0,3841.0
BMW,SERIE 6 COUPE F13,2012-2018,12-15,True,False,,,,4680 /1d,4680.0,6370.0,8230.0,8670.0,,18500.0,2775.0,3700.0,4255.0
