Triclo_Ref,Marca,Modelo,OEM,Info,Categoria
347008,ALFA ROMEO,Mito (’08→),71753846,"EGR Valve +VALVULA EGR FIAT,OPEL 1.3CDTI",Mecanica (Carter/EGR)
434848,ALFA ROMEO,Mito (’08→),46813571,"Pressure Converter, exhaust control !ELECTROVALVULA EGR FIAT 1.9D",Mecanica (Carter/EGR)
403351,AUDI,80 / 90 / 100,078103604H,Oil sump CARTER ACEITE VAG 2.4/2.6/2.8,Mecanica (Carter/EGR)
342317,AUDI,AUDI A2 8Z (‘00→’05),045131501F,EGR Valve +VALVULA EGR VAG  1.4TDI,Mecanica (Carter/EGR)
342317,AUDI,AUDI A2 8Z (‘00→’05),045131501K,EGR Valve +VALVULA EGR VAG  1.4TDI,Mecanica (Carter/EGR)
342350,AUDI,AUDI A2 8Z (‘00→’05),045131501C,EGR Valve +VALVULA EGR VAG 1.2/1.4/1.9D,Mecanica (Carter/EGR)
342350,AUDI,AUDI A2 8Z (‘00→’05),045131501L,EGR Valve +VALVULA EGR VAG 1.2/1.4/1.9D,Mecanica (Carter/EGR)
342355,AUDI,AUDI A2 8Z (‘00→’05),036131503M,EGR Valve +VALVULA EGR VAG  1.4/1.6 GAS.,Mecanica (Carter/EGR)
342362,AUDI,AUDI A2 8Z (‘00→’05),036131503R,EGR Valve +VALVULA EGR VAG 1.4 GASOLINA,Mecanica (Carter/EGR)
342362,AUDI,AUDI A2 8Z (‘00→’05),036131503T,EGR Valve +VALVULA EGR VAG 1.4 GASOLINA,Mecanica (Carter/EGR)
403431,AUDI,AUDI A3 (8L) (‘97→’03),038103601LA,Oil sump CARTER VAG 1.8 sin ag.sensor,Mecanica (Carter/EGR)
403432,AUDI,AUDI A3 (8L) (‘97→’03),038103603L,Oil sump CARTER VAG 1.8 con ag.sensor,Mecanica (Carter/EGR)
403433,AUDI,AUDI A3 (8L) (‘97→’03),038103601AQ,Oil sump CARTER VAG 1.8turbo sin a.s.,Mecanica (Carter/EGR)
403433,AUDI,AUDI A3 (8L) (‘97→’03),038103601MA,Oil sump CARTER VAG 1.8turbo sin a.s.,Mecanica (Carter/EGR)
403434,AUDI,AUDI A3 (8L) (‘97→’03),038103603M,Oil sump CARTER VAG 1.8turbo con a.s.,Mecanica (Carter/EGR)
403565,AUDI,AUDI A3 (8L) (‘97→’03),038103601NA,Oil sump CARTER VAG 1.9 TDI s/ag.sensor,Mecanica (Carter/EGR)
403566,AUDI,AUDI A3 (8L) (‘97→’03),038103603N,Oil sump CARTER VAG 1.9 TDI c/ag.sensor,Mecanica (Carter/EGR)
342350,AUDI,AUDI A3 (8L) (‘97→’03),045131501C,EGR Valve +VALVULA EGR VAG 1.2/1.4/1.9D,Mecanica (Carter/EGR)
342350,AUDI,AUDI A3 (8L) (‘97→’03),045131501L,EGR Valve +VALVULA EGR VAG 1.2/1.4/1.9D,Mecanica (Carter/EGR)
342351,AUDI,AUDI A3 (8L) (‘97→’03),038131501AF,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342351,AUDI,AUDI A3 (8L) (‘97→’03),038131501AN,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342356,AUDI,AUDI A3 (8L) (‘97→’03),06A131501F,EGR Valve +VALVULA EGR VAG 1.6 GASOLINA,Mecanica (Carter/EGR)
342356,AUDI,AUDI A3 (8L) (‘97→’03),06A131501P,EGR Valve +VALVULA EGR VAG 1.6 GASOLINA,Mecanica (Carter/EGR)
342360,AUDI,AUDI A3 (8L) (‘97→’03),038131501AT,EGR Valve +VALVULA EGR VAG  1.9TDI,Mecanica (Carter/EGR)
342360,AUDI,AUDI A3 (8L) (‘97→’03),038131501T,EGR Valve +VALVULA EGR VAG  1.9TDI,Mecanica (Carter/EGR)
342363,AUDI,AUDI A3 (8L) (‘97→’03),06A131501G,EGR Valve +VALVULA EGR VAG 1.8 GASOLINA,Mecanica (Carter/EGR)
403799,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),038103603AG,Oil sump CARTER VAG 1.9TDI/2.0TDI/SDI,Mecanica (Carter/EGR)
403991,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03C103603S,Oil sump CARTER ACEITE VAG  1.4/1.6,Mecanica (Carter/EGR)
403991,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03C103603T,Oil sump CARTER ACEITE VAG  1.4/1.6,Mecanica (Carter/EGR)
402592,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),09M321361A,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES VAG",Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03G131501,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03G131501P,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03L131501D,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03L131501E,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03L131501G,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03L131501K,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342351,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),038131501AF,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342351,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),038131501AN,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342356,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),06A131501F,EGR Valve +VALVULA EGR VAG 1.6 GASOLINA,Mecanica (Carter/EGR)
342356,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),06A131501P,EGR Valve +VALVULA EGR VAG 1.6 GASOLINA,Mecanica (Carter/EGR)
342358,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03G131502B,EGR Valve +VALVULA EGR VAG 1.9/2.0TDI,Mecanica (Carter/EGR)
342359,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),03C131503B,EGR Valve +VALVULA EGR VAG  1.6FSI,Mecanica (Carter/EGR)
342368,AUDI,AUDI A3 (8P) (‘03→’13) / Q3 I (8U) (‘11→),06F131503B,EGR Valve +VALVULA EGR VAG mot. 2.0FSI,Mecanica (Carter/EGR)
403351,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",078103604H,Oil sump CARTER ACEITE VAG 2.4/2.6/2.8,Mecanica (Carter/EGR)
403353,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",078103604AC,Oil sump CARTER VAG sin.ag.s. 2.4/2.6,Mecanica (Carter/EGR)
403354,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",078103604AA,Oil sump CARTER VAG con.ag.s. 2.4/2.8,Mecanica (Carter/EGR)
403726,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06C103604C,Oil sump CARTER AUDI A4/A6/A8 3.0  6cil,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103601AQ,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103601N,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103603AQ,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103603N,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403742,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103601CA,Oil sump CARTER ACEITE VAG 1.8 Turbo,Mecanica (Carter/EGR)
403742,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",06B103603P,Oil sump CARTER ACEITE VAG 1.8 Turbo,Mecanica (Carter/EGR)
342318,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",028131501E,EGR Valve +VALVULA EGR VAG  1.9TDI,Mecanica (Carter/EGR)
342352,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501AQ,EGR Valve +VALVULA EGR VAG 1.9TDI 100CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501AA,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501AL,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501J,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",03G131501B,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",03G131501Q,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",03G131501R,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342487,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501AD,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342487,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501BF,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342487,AUDI,"AUDI A4 (B5, B6, B7) (‘94→’08)",038131501BH,EGR Valve +VALVULA EGR VAG 1.9TDI,Mecanica (Carter/EGR)
342611,AUDI,AUDI A4 (B8) (B9) (‘08→),059131502B,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
342611,AUDI,AUDI A4 (B8) (B9) (‘08→),059131502G,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03G131501,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03G131501P,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03L131501D,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03L131501E,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03L131501G,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A4 (B8) (B9) (‘08→),03L131501K,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03G131501,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03G131501P,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03L131501D,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03L131501E,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03L131501G,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),03L131501K,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342611,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),059131502B,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
342611,AUDI,AUDI A5 (‘07→’17); Q5 (‘08→’17),059131502G,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
403351,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",078103604H,Oil sump CARTER ACEITE VAG 2.4/2.6/2.8,Mecanica (Carter/EGR)
403353,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",078103604AC,Oil sump CARTER VAG sin.ag.s. 2.4/2.6,Mecanica (Carter/EGR)
403354,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",078103604AA,Oil sump CARTER VAG con.ag.s. 2.4/2.8,Mecanica (Carter/EGR)
403726,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06C103604C,Oil sump CARTER AUDI A4/A6/A8 3.0  6cil,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103601AQ,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103601N,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103603AQ,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403741,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103603N,Oil sump CARTER VAG 1.6/1.9TDI/2.0,Mecanica (Carter/EGR)
403742,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103601CA,Oil sump CARTER ACEITE VAG 1.8 Turbo,Mecanica (Carter/EGR)
403742,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",06B103603P,Oil sump CARTER ACEITE VAG 1.8 Turbo,Mecanica (Carter/EGR)
342318,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",028131501E,EGR Valve +VALVULA EGR VAG  1.9TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03G131501,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03G131501P,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03L131501D,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03L131501E,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03L131501G,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342343,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03L131501K,EGR Valve +VALVULA EGR VAG  2.0TDI,Mecanica (Carter/EGR)
342352,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",038131501AQ,EGR Valve +VALVULA EGR VAG 1.9TDI 100CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",038131501AA,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",038131501AL,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342353,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",038131501J,EGR Valve +VALVULA EGR VAG 1.9TDI 130CV,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03G131501B,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03G131501Q,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342365,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",03G131501R,EGR Valve +VALVULA EGR AUDI A4  2.0TDI,Mecanica (Carter/EGR)
342611,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",059131502B,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
342611,AUDI,"AUDI A6 (C4, C5, C6, C7) (‘94→’18)",059131502G,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
403351,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),078103604H,Oil sump CARTER ACEITE VAG 2.4/2.6/2.8,Mecanica (Carter/EGR)
403353,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),078103604AC,Oil sump CARTER VAG sin.ag.s. 2.4/2.6,Mecanica (Carter/EGR)
403354,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),078103604AA,Oil sump CARTER VAG con.ag.s. 2.4/2.8,Mecanica (Carter/EGR)
403726,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),06C103604C,Oil sump CARTER AUDI A4/A6/A8 3.0  6cil,Mecanica (Carter/EGR)
342611,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),059131502B,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
342611,AUDI,AUDI A7 (C7) (‘10→’18) / Q7 I (4L) / Q7 II (4M) / A8 (‘09→18),059131502G,EGR Valve +VALVULA EGR VAG  2.7TDI,Mecanica (Carter/EGR)
402530,BMW,Serie 1 (E81/82/87/88) ‘04→’11,24117571217,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
402530,BMW,Serie 1 (E81/82/87/88) ‘04→’11,24152333907,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
342128,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717810871,EGR Valve !VALVULA EGR BMW mot.N47/N47N,Mecanica (Carter/EGR)
342133,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717792077,EGR Valve VALVULA EGR BMW S.3 #¡REF! M47N2,Mecanica (Carter/EGR)
342133,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717804381,EGR Valve VALVULA EGR BMW S.3 #¡REF! M47N2,Mecanica (Carter/EGR)
342137,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11742247906,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
342137,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11747796634,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
342138,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717801942,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
342139,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717793484,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
342139,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11717804382,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
432865,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11747805391,"Pressure Converter, exhaust control !ELECTROVALVULA EGR BMW N47",Mecanica (Carter/EGR)
432866,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11741742712,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 1 (E81/82/87/88) ‘04→’11,11747810831,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
342128,BMW,Serie 1 (F20/21/40) ‘11→,11717810871,EGR Valve !VALVULA EGR BMW mot.N47/N47N,Mecanica (Carter/EGR)
402532,BMW,Serie 1 (F20/21/40) ‘11→,24117624192,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
402532,BMW,Serie 1 (F20/21/40) ‘11→,24118612901,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 1 (F20/21/40) ‘11→,11741742712,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 1 (F20/21/40) ‘11→,11747810831,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
342128,BMW,Serie 2 (‘13→),11717810871,EGR Valve !VALVULA EGR BMW mot.N47/N47N,Mecanica (Carter/EGR)
402532,BMW,Serie 2 (‘13→),24117624192,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
402532,BMW,Serie 2 (‘13→),24118612901,"Oil sump, automatic transmission CARTER CAJA VELOCIDADES BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 2 (‘13→),11741742712,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 2 (‘13→),11747810831,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 3 (E30/E36) →’98,11741742712,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 3 (E30/E36) →’98,11747810831,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
342136,BMW,Serie 3 (E46) ’98→’05,11717804379,EGR Valve +VALVULA EGR BMW S.3 E46 330D,Mecanica (Carter/EGR)
342137,BMW,Serie 3 (E46) ’98→’05,11742247906,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
342137,BMW,Serie 3 (E46) ’98→’05,11747796634,"EGR Valve +VALVULA EGR BMW S.1,S.3,S.5",Mecanica (Carter/EGR)
432866,BMW,Serie 3 (E46) ’98→’05,11741742712,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
432866,BMW,Serie 3 (E46) ’98→’05,11747810831,"Valve, EGR exhaust control !ELECTROVALVULA EGR BMW",Mecanica (Carter/EGR)
342128,BMW,Serie 3 (E90/91/92/93) ‘05→‘11,11717810871,EGR Valve !VALVULA EGR BMW mot.N47/N47N,Mecanica (Carter/EGR)
342133,BMW,Serie 3 (E90/91/92/93) ‘05→‘11,11717792077,EGR Valve VALVULA EGR BMW S.3 #¡REF! M47N2,Mecanica (Carter/EGR)
342133,BMW,Serie 3 (E90/91/92/93) ‘05→‘11,11717804381,EGR Valve VALVULA EGR BMW S.3 #¡REF! M47N2,Mecanica (Carter/EGR)
342134,BMW,Serie 3 (E90/91/92/93) ‘05→‘11,11717804352,EGR Valve VALVULA EGR BMW S.3 #¡REF! M57N2,Mecanica (Carter/EGR)
